EID,NAME,ADDR1,ADDR2,CITY,PHONE,EMAIL,DOB,DOJ
E1051,RONITA,C4/104,JANAK PURI,DELHI,7677561112,RONI@YAHOO.CO.IN,01-01-1999,07-06-2019
E1052,MAHENDER SINGH,B62 ,SECTOR 2,PUNE,9899099098,MS52@OUTLOOK.COM,04-01-1984,07-07-2019
E1053,Ainul,DLF PHASE 2,SECTOR 5,PUNE,9818009010,AI53@OUTLOOK.COM,04-01-1980,08-07-2019
E1054,RANJITA SHARMA,POCKET 2,SECTOR 13 DWARKA,DELHI,9999898870,RA54@OUTLOOK.COM,01-10-1998,08-08-2019
E1055,ASHUTOSH KUMAR,B2/204,JANAK PURI WEST,DELHI,9991111170,AK55@OUTLOOK.COM,01-10-1998,08-08-2019
E1056,RAJEEV SHARMA,B203 STREET NO 6,RAJEDER NAGAR ,PUNE,9787756760,RS56@OUTLOOK.COM,12-12-1998,09-09-2019
E1057,ABHINAV GHOSH,HNO 305,SECTOR 15,PUNE,9787777700,AG57@OUTLOOK.COM,01-01-1998,09-09-2019
E1058,PUMMY SINGH,TEACHERS COLONY,SECTOR 17,PUNE,9899675470,PUM58@OUTLOOK.COM,01-01-1999,09-09-2019
E1059,AMAN MUDGAL,B502 - POLICE COLONY,PRETAMPURA,PUNE,9999787860,AM59@GMAIL.COM,10-10-1989,12-12-2019
E1060,GAURAV GUPTA,HOUSE NO  305,RAJENDER PARK,PUNE,9999008989,GG61@GMAIL.COM,01-01-1987,12-12-2019
E1061,RAGHUVEER SINGH,B72/3 TEACHERS COLONY,SECTOR 25,PUNE,9899787870,RS61@OUTLOOK.COM,01-10-1997,12-12-2019
E1062,ABHISHEK KUMAR,4231,DLF PHASE 3,GURGAON,9899781111,AK62@OUTLOOK.COM,03-12-1999,15-12-2019
E1063,GAGAN KAPOOR,256 UDYOUG VIGAR,SECTOR 12,PUNE,9999808070,GK63@OUTLOOK.COM,10-10-1998,21-12-2019
E1064,RAJ KUMAR,HNO 120 LANE 6,SECTOR 12,PUNE,9899898980,RK64@GMAIL.COM,12-12-1989,20-12-2019
E1065,SANDEEP SHARMA,SECTOR 32,GEETA COLONY,PUNE,9899898970,SS065@GMAIL.COM,25-12-1989,25-12-2019
E1066,ABHISHEK BHIST,"HNO 420, SIDDHARTH COLONY",GORE GAON,PUNE,9899898909,AB66@OUTLOOK.COM,01-01-1998,26-12-2019
E1067,CHARAN PRASAD,256/1 TEACHERS COLONY,MINAR ROAD,PUNE,8686446163,hcprasad09@gmail.com,10-09-1992,01-01-2020
E1068,SUNANDA SHARMA,HNO 120 LANE NO 6,RAJEBDER NAGAR,PUNE,8988989877,SUNANDA@GMAIL.COM,04-10-1990,01-01-2020
E1069,GOPI CHARAN,HNO 1271/4,ANDHARI WEST,MUMBAI,8988900011,GC@GMAIL.COM,04-03-1990,01-01-2020
E1070,ANJANI RAO,420/5 GEETA COLONY,ANDHARI WEST,MUMBAI,9999009090,ARA0@GMAIL.COM,10-10-1999,01-01-2020
E1071,HARDIK SHARMA,4035 GOPALDAS BUILDING,ANDHARI EAST,MUMBAI,9999000056,HS071@OUTLOOK.COM,15-03-1997,02-01-2020
E1072,SARVAN KUMAR,SECTOR 12,DWARKA,DELHI,8899880976,SK71@OUTLOOK.COM,10-10-1991,02-02-2020
E1073,RAJAN SOOD,267 UDYOG VIHAR,PHASE 2,PUNE,9876565643,RS073@OUTLOOK.COM,10-10-1989,03-02-2020
E1074,AJAY SHRISTAVA,SURBHI APARTMENTS,DWARKA SEC 22,DELHI,9888989071,SHRIA74@OUTLOOK.COM,10-10-1999,13-03-2020
E1075,AJAY MALIK,C2-151,GEETA COLONY,PUNE,9877876543,AJAY075@OUTLOOK.COM,10-11-1999,04-01-2020
E1076,YAHOO SINGH,HNO120 LANE 13,ANDHARI EAST,MUMBAI,9099897654,YAHOO76GMAIL.COM,01-01-1998,03-04-2020
E1077,AJAY MALIK,HNO50/4,RAJPUR ROAD,DEHRADUN,9899098765,AM77@GMAIL.COM,10-10-1997,05-04-2020
E1078,ALBERT SON,HNO 120 LANE 4,H.K. VILLAGE,PUNE,9899090909,ALBERT@YAHOO.COM,10-01-1997,13-04-2020
E1079,ROBERT BEN,B2/65 LANE 6,PARK STREET,PUNE,9999009987,RBEN@OUTLOOK.COM,01-10-1998,15-04-2020
E1080,MUKESH BANSAL,HNO150 BLOCK 4,RADHIKA APARTMENTS,PUNE,9899990909,MB80@OUTLOOK.COM,10-10-1995,17-05-2020
E1081,PRASHANT MISHRA,DLF PHASE 2,INDRAPURAM,PUNE,9811235654,PM@GMAIL.COM,10-09-1995,19-04-2000
E1082,AKBHAR AHMED,HNO 110 LANE 5,RAMA APARTMENTS,PUNE,9811343210,AA@GMAIL.COM,10-10-1994,25-04-2000
E1083,RITIKA GUPTA,RAMA APARTMENTS,SECTOR 17,PUNE,9877878765,RITIKA@GMAIL.COM,01-10-1990,26-04-2020
E1084,ARTI SONI,NAVYOG APARTMENTS, SECTOR 5 DWARKA,DELHI,9999876543,AS@GMAIL.COM,10-03-1989,30-04-2020
E1085,AJAY MALIK,HNO125,RAJPUR ROAD,DEHRADUN,9811454531,AM85@GMAIL.COM,07-05-1990,01-05-2020
E1086,ROHAN SAINI,H26-LANE 4,RAJOURI GARDEN,DELHI,9899765432,RS86@GMAIL.COM,10-01-1991,02-05-2020
E1087,ROSHAN SOOD,B2/13,SECTOR 17,PUNE,9811146563,RSOOD@OUTLOOK.COM,13-05-1990,06-05-2021
E1088,SANJAY GOYAL,B26/1,MODEL TOWN,PUNE,9800012431,SGOYAL@YAHOO.COM,12-01-1989,07-05-2020
E1089,SANJEEV SINGH,"B301, NEAR GURUDWARA",SECTOR 3 DWARKA,DELHI,9899267890,SSINGH@GMAIL.COM,10-01-1990,08-05-2020
E1090,RAVINDER SING,120/3,SECTOR 5,PUNE,9811456542,RS90@GMAIL.COM,13-05-1989,09-05-2020
E1091,GAGAN SHARMA,B502,ANDHARI WEST,MUMBAI,9811098760,GSHARMA@GMAIL.COM,10-05-1998,09-05-2020
E1092,GAGANDEEP SINGH,HNO 150 LANE 1,SECTOR 5,PUNE,9811109987,GS92@GMAIL.COM,01-10-1989,10-05-2020
E1093,AJAY MALIK,"HNO NO 120, STREET 6",RAJENDER NAGAR,PUNE,9800245670,AJAY@GMAIL.COM,06-05-1985,11-05-2020
E1094,BALDEEP SINGH,SECTOR 3,GGR COLONY,PUNE,9811189761,BS93@GMAIL.COM,10-05-1990,11-05-2020
E1095,RAMAN VERMA,HIG SOCIETY,SECTOR 17,PUNE,9811098765,RVERMA95@YAHOO.CO.IN,13-01-1999,12-05-2020
E1096,AVINASH GUPTA,HNO. 256,RAJPUR ROAD,DEHRADUN,9811190989,AG96@GMAIL.COM,10-05-1997,14-05-2020
E1097,MANDEEP SHARMA,STREET NO 6,RAJENDER NAGAR,PUNE,9999880978,MS97@GMAIL.COM,18-05-1998,14-05-2021
E1098,ROHAN SAHANI,HNO 120 ,SECTOR 5,PUNE,9811897654,RS@OUTLOOK.COM,13-05-1995,17-05-2020
E1099,ABHISHEK SINGH,HNO 110,LINK ROAD,PUNE,9999999989,ASINGH@OUTLOOK.COM,18-06-1998,18-05-2020
E1100,PARMINDER SINGH,B32/8,RAJENDER PARK,PUNE,9811898760,PARAM@GMAIL.COM,12-05-1998,19-05-2020
E1101,RAVINDER SINGH,"HNO 10, BLOCK A",TEACHERS COLONY,CHANDIGARH,9899098123,RSINGH@GMAIL.COM,13-05-1999,20-05-2020
E1102,AJAY MALIK,"HNO 120, STREET 6",RAJENDER NAGAR,PUNE,9811111120,AJAYM@GMAIL.COM,15-05-1997,21-05-2020
E1103,KULDEEP SINGH,145/7 LANE 6,RAJENDER NAGAR,PUNE,9899090100,KS@GMAIL.COM,18-05-1995,22-05-2020
E1104,ABHISHEK KUMAR,RAMA APARTMENTS,SECTOR 11 DWARKA,DELHI,9811111180,AK@GMAIL.COM,20-05-1997,23-05-2020
E1105,ABHINAV KUMAR,BLOCK 5,DLF PHASE 2,GURGAON,9999998765,AK05@GMAIL.COM,13-06-1997,24-05-2020
E1106,RAVINDER RAWAT,"HNO 120 , STREET 6",RAJENDER NAGER,PUNE,9999009999,RRDDN@GMAIL.COM,10-10-1994,26-05-2020
E1107,KAPIL GUPTA,245 UDYOG VIHAR,PHASE 5,PUNE,9811765651,KG07@GMAIL.COM,13-10-1998,30-05-2020
E1108,AVADH KUMAR,RAMA APARTMENTS,SECTOR 11,PUNE,9811455460,AK08@GMAIL.COM,10-05-1990,01-06-2020
E1109,ANKIT SHARMA,HNO 120,SECTOR 68,PUNE,9099765432,AS09@GMAIL.COM,13-01-1990,02-06-2020
E1110,RAJ KUMAR,OM SATYAM APARTMENTS,SECTOR 3 DWARKA,DELHI,9899765430,RK10@OUTLOOK.COM,13-01-1993,03-06-2020
E1111,ARVIND KUMAR,HNO 360 LANE 5,PALAM COLONY,PUNE,9811987650,AK11@GMAIL.COM,12-01-1997,04-06-2020
E1112,RANJEET SINGH,HNO 120,SECTOR 62,GURGAON,9899876890,RANJEET@GMAIL.COM,15-07-1996,05-06-2020
E1113,PROMOD GUPTA,"HNO-5, STREET 6",RAJENDER NAGAR,DEHRADUN,9899090123,PG13@GMAIL.COM,13-07-1994,06-06-2020
E1114,AMIT SOOD,HNO 510,SECTOR 17D,GURGAON,9811787761,ASOOD@GMAIL.COM,17-07-1995,07-06-2020
E1115,VINAY SING,HNO 120 STREET NO 6,RAJENDER NAGER,DELHI,9811213240,VSINGH@GMAIL.COM,13-08-1995,08-06-2021
E1116,AKILESH BIST,HNO341/3,SECTOR 78,NOIDA,9811176540,ABIST@GMAIL.COM,13-08-1994,09-06-2021
E1117,SHASHI JUYAL,PLOT NO 95 SECTOR 4,RAJENDER NAGAR,DELHI,9999911087,SHASHI@GMAIL.COM,10-08-1993,10-05-2021
E1118,GAURAV SHARMA,HNO.267,SECTOR 17,GURGAON,9811786510,GSHARMA02@GMAIL.COM,10-08-1995,09-07-2020
E1119,PAVAN KUMAR,HNO 256,SECTOR 28,GURGAON,9811454314,PAVAN@GMAIL.COM,25-08-1994,10-07-2020
E1120,NAVAL KISHOR,256 PREET VIHAR,EAST DELHI,DELHI,9811118010,NK20@GMAIL.COM,05-09-1993,10-07-2020
E1121,JITENDRA KUMAR,SECTOR 78,MAHAGUN APARTMENTS,NOIDA,9800907650,JK21@GMAIL.COM,13-09-1993,11-07-2020
E1122,NAVEEN KUMAR,4-CHANDER ROAD ,DALANWALA,DEHRADUN,9811234567,NK22@GMAIL.COM,28-09-1995,12-07-2020
E1123,ABHINAV SINGH,459 UDYOG VIHAR,PHASE 2,GURGAON,9811176709,ABHINAVS@GMAIL.COM,01-10-1997,13-07-2020
E1124,AMIT AGARWAL,HNO 120,PALAM COLONY,GURGAON,9876543432,AMIT@GMAIL.COM,10-10-1992,14-07-2020
E1125,RAVINDER RANA,C2/10,DLF PHASE 2,GURGAON,9877654543,RRANA@GMAIL.COM,13-10-1995,15-07-2020
E1126,DAINEL BOSE,SUSHANT LOK,PHASE 2,GURGAON,9811111190,DB26@OUTLOOK.COM,10-10-1992,16-07-2020
E1127,NEHA RAWAT,5 CEMENT ROAD,KARANPUR,DEHRADUN,9811233210,NEHA@GMAIL.COM,10-10-1995,16-07-2020
E1128,NIDHI KHURANA,DLF PASE 2,SECTOR 18,GURGAON,9899091111,NIDHIK@GMAIL.COM,10-06-1991,17-07-2020
E1129,AMIT GUPTA,SECTOR 11,DWARKA,DELHI,9999990987,AG29@GMAIL.COM,13-03-1995,20-07-2000
E1130,AKETA GUPTA,B32 JAY MAA APARTMENTS,"SECTOR 5, DWARKA",DELHI,9811123210,AKETAG30@GMAIL.COM,10-06-1992,20-07-2020
E1131,ABHISHEK RAWAT,HNO 120 STREET 4,ARYA NAGAR,DEHRADUN,9811156434,AR@GMAIL.COM,13-01-1995,21-07-2020
E1132,NAVEEN BHATT,25 RAJENDER NAGAR,STREET 6,DEHRADUN,9811143215,NBHATT@GMAIL.COM,01-01-1990,22-07-2020
E1133,NAVAL KISHOR,FLAT NO 134,YAMUNA VIHAR,DELHI,9899234315,NK33@YAHOO.COM,05-01-1991,23-07-2020
E1134,ROHAN MALHOTRA,SURYA APARTMENTS,ANDHARI,MUMBAI,9899245432,RM34@GMAIL.COM,14-03-1993,24-07-2020
E1135,ABHISHEK RANA,"HNO NO35, STREET 6",ARYA NAGAR,DEHRADUN,9877676550,ARANA@GMAIL.COM,13-06-1995,25-07-2020
